Re Im
5.0 2.0
11.0 -21.0
-4.0 -24.0
-5.0 -5.0
-14.0 2.0
-3.0 -20.0
-3.0 -6.0
6.0 -2.0
15.0 -5.0
-6.0 -5.0
3.0 -6.0
-7.0 13.0
-21.0 -14.0
2.0 -6.0
-5.0 -5.0
-4.0 -25.0
-11.0 -30.0
5.0 -17.0
7.0 -10.0
12.0 17.0
-2.0 6.0
7.0 0.0
8.0 -11.0
-12.0 -7.0
10.0 -2.0
-5.0 -16.0
-6.0 -7.0
-6.0 -2.0
-13.0 -33.0
11.0 -5.0
-4.0 -34.0
18.0 -32.0
-16.0 5.0
-1.0 7.0
1.0 -7.0
-6.0 -15.0
13.0 1.0
-8.0 14.0
12.0 4.0
9.0 -6.0
10.0 -6.0
7.0 -5.0
-2.0 -14.0
17.0 -29.0
5.0 -16.0
-2.0 4.0
24.0 1.0
-6.0 -6.0
-22.0 9.0
10.0 -7.0
-17.0 10.0
14.0 5.0
21.0 11.0
-2.0 3.0
5.0 -11.0
3.0 -6.0
3.0 -12.0
12.0 14.0
9.0 -23.0
5.0 1.0
2.0 -3.0
-2.0 -19.0
10.0 4.0
4.0 8.0
21.0 -8.0
3.0 -18.0
-3.0 -21.0
12.0 -32.0
-7.0 -16.0
2.0 -10.0
-2.0 -15.0
-5.0 0.0
18.0 -23.0
-11.0 5.0
1.0 6.0
6.0 -4.0
-2.0 1.0
0.0 -7.0
-27.0 11.0
1.0 -11.0
15.0 0.0
12.0 -15.0
18.0 -10.0
-1.0 -13.0
-2.0 -16.0
24.0 -4.0
2.0 -3.0
6.0 -5.0
8.0 11.0
-20.0 3.0
-14.0 -18.0
9.0 -3.0
18.0 -19.0
7.0 -8.0
17.0 -12.0
21.0 -3.0
8.0 -3.0
1.0 0.0
0.0 -15.0
30.0 -10.0
-1.0 -15.0
-8.0 1.0
15.0 -12.0
6.0 3.0
10.0 1.0
1.0 0.0
-4.0 10.0
22.0 2.0
4.0 3.0
0.0 1.0
6.0 2.0
3.0 -20.0
18.0 -17.0
18.0 -6.0
-3.0 -15.0
1.0 12.0
2.0 16.0
1.0 13.0
9.0 2.0
-1.0 14.0
-10.0 17.0
28.0 14.0
-21.0 1.0
-12.0 -23.0
14.0 -3.0
-9.0 -8.0
4.0 -31.0
-9.0 -9.0
15.0 0.0
